"LAKNAM","MIDAS","STATION","SAMPDATE","AGENCY","PROJECT","DEPTH","TEMP","OXYGEN","OXYMETH","METER","CALIB"
"Annabessacook",9961,1,2022-11-07,"CW",3,0,13.8,8.9,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,1,13.7,8.9,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,2,13.6,8.8,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,3,13.5,8.8,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,4,13.4,8.8,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,5,13.3,8.7,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,6,13.3,8.6,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,7,13.2,8.5,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,8,13,8.2,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,9,12.8,7.8,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,10,12.7,7.4,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,11,12.6,6.9,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,12,12.5,6.6,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,12.8,12.5,5.7,"M","YSI52 1","Y"
